Release.date,Shark,PCL,FL,Length.mm,Sex,Transmitter,serial,Signal,Notes,Location,Latitude,Longitude
5/5/2022 0:00,Bull,187,203,266,F,1521573,57456,,,deep ledge,26.89673333,-79.98656667
5/6/2022 0:00,sandbar,141,155,188,F,,,529,,deep ledge,26.89673333,-79.98656667
6/29/2022 0:00,Bull,189,211,252,F,1521570,57453,36,killed by fishermen at tournament,deep ledge,26.89673333,-79.98656667
6/29/2022 0:00,Bull,172,195,234,F,1521576,57459,88,,deep ledge,26.89673333,-79.98656667
3/11/2023 0:00,Bull,170,194,206,F,1521578,57461,34,yellow dart tag,Governors wrecks,26.75152,-80.016067
6/29/2023 11:36,Bull,157,175,214,F,1521575,57458,204,yellow dart tag,Governors wrecks,26.731267,-80.016067
7/7/2023 2:30,Bull,183,206,247,F,1521571,57454,93,yellow dart tag,deep ledge,26.88058333,-79.98483333
8/24/2023 0:00,Caribbean reef,149,167,201,F,,,,DNA 4,deep ledge,26.88055556,-79.98472222
9/7/2023 11:18,Caribbean reef,159,179,212,F,1560976,52504,92,DNA 1,deep ledge,26.89861111,-79.98666667
9/7/2024 0:00,Bull,179,202,241,F,1560975,52503,78,DNA 5,deep ledge,,
10/6/2023 15:00,Caribbean reef,108,123,142,M,1560979,52507,,old yellow NOAA tag,deep ledge,26.89593,-79.98617
3/20/2024 0:00,Bull,164,185,222,F,1560978,52506,,roto tag,Governors wrecks,26.75326,-80.00826
4/6/2024 10:44,Bull,179,198,243,F,1560974,52502,,yellow dart tag,,26 53 9543,79 58 995
4/24/2024 0:00,Bull,179,199,244,F,1560982,52510,,roto tag,Governors wreck,26.75152,-80.0101
4/25/2024 0:00,Bull,185,208,249,F,1560983,52511,,roto tag,Governors wreck,26.75152,-80.0101
5/9/2020 0:00,Bull,180,206,246,F,1560981,52509,,roto tag,Governors wreck,26.75152,-80.0101
5/16/2024 10:00,Bull,190,214,255,F,1560985,52513,,yellow dart tag,Governors wreck,26.75152,-80.0101
5/16/2024 15:00,Bull,183,204,248,F,1560991,52519,,yellow dart tag,Governors wreck,26.75152,-80.0101
5/17/2024 0:00,Sandbar,145,166,211,M,1560933,52505,,yellow dart tag,,26 44'493,80 00'177
5/17/2024 0:00,Bull,185,205,256,F,1560980,52505,,yellow dart tag,,,
