collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/5/2023,FIUBULLT,FIUBULLT,,release,,,A69-9001-57456,,,,,,,5/5/2022 14:00,UTC,-79.98657,26.89673,0101000020E6100000373384E823FF53C0AEC1D35090E53A40,2022,5,5,125,14,,,Papastamatiou YP. 2023. Movements of bull sharks between artificial and natural reefs,FIUBULLT-1521573-2022-05-05-release-A69-9001-57456,Yannis Papastamatiou (ypapasta@fiu.edu),"Kevin Boswell (kevin.boswell@fiu.edu), Alastair Harborne (aharborn@fiu.edu), Michael Heithaus (heithaus@fiu.edu), Yannis Papastamatiou (ypapasta@fiu.edu)"
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/5/2023,FIUBULLT,FIUBULLT,,release,,,A69-9001-57458,,,,,,,6/29/2023 10:00,UTC,-80.01607,26.73127,0101000020E6100000DFE2E13D070154C0DFA4695034BB3A40,2023,6,29,180,10,,,Papastamatiou YP. 2023. Movements of bull sharks between artificial and natural reefs,FIUBULLT-204-2023-06-29-release-A69-9001-57458,Yannis Papastamatiou (ypapasta@fiu.edu),"Kevin Boswell (kevin.boswell@fiu.edu), Alastair Harborne (aharborn@fiu.edu), Michael Heithaus (heithaus@fiu.edu), Yannis Papastamatiou (ypapasta@fiu.edu)"
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 4:58,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,4.974166667,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675287,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 21:34,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,21.58138889,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675704,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 21:43,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,21.72638889,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675709,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 21:46,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,21.76916667,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675712,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 22:23,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,22.39694444,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675735,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 22:24,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,22.40944444,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675737,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 23:04,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,23.07416667,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675756,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 23:05,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,23.08611111,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675757,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/8/2023 23:08,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,8,189,23.14527778,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3675759,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 13:24,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,13.40388889,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684282,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 17:16,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,17.26694444,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684299,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 17:38,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,17.64611111,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684301,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 17:41,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,17.685,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684302,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 17:41,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,17.69777778,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684303,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 17:57,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,17.96,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684307,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-204-2023-06-29,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,CAST,130011,30,26,A69-9001-57458,A69-9001,A69-9001-57458,,pinger,,,7/24/2023 18:02,UTC,-80.03722,26.47889,0101000020E610000075B0FECF610254C0A661F888987A3A40,2023,7,24,205,18.03833333,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57458-3684309,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
