"Transmitter","N.detections","First.detection","Last.detection","Receivers"
"A69-1303-52772",12,"2022-05-10 19:48:58","2022-05-10 23:36:38","138239.dpl.1"
"A69-1601-62054",4,"2024-03-09 21:49:10","2024-03-09 23:10:56","139043"
"A69-1601-62478",36525,"2022-08-26 14:21:16","2023-07-20 01:32:27","138239.dpl.1, 138239.dpl.2, 139043"
"A69-1602-25910",6,"2022-11-10 10:27:31","2022-11-10 10:41:36","138239.dpl.1"
"A69-1602-28095",1,"2024-02-05 06:15:38","2024-02-05 06:15:38","139041"
"A69-1602-28099",4,"2023-12-23 08:12:14","2024-05-26 23:44:14","139044, 138240.dpl.3"
"A69-1602-28105",13,"2022-12-17 00:41:01","2023-06-21 14:33:32","138239.dpl.1, 138240.dpl.1, 139041, 139045"
"A69-1602-39194",1,"2022-09-16 19:32:14","2022-09-16 19:32:14","138239.dpl.1"
"A69-1602-48144",20,"2022-09-30 12:26:31","2022-09-30 19:19:43","138240.dpl.1"
"A69-1602-48157",15,"2022-10-05 18:18:31","2022-10-05 19:37:13","138240.dpl.1"
"A69-1602-48344",1,"2024-03-04 22:12:27","2024-03-04 22:12:27","139043"
"A69-1602-60848",23,"2022-11-13 07:54:04","2022-11-13 10:20:25","138239.dpl.1"
"A69-1602-60887",4,"2023-12-16 14:27:32","2023-12-16 18:01:43","138240.dpl.3"
"A69-1602-60890",3,"2023-10-15 05:51:03","2023-11-08 02:14:07","138240.dpl.3"
"A69-1604-27222",5,"2023-06-16 19:16:25","2023-06-17 18:16:30","139041, 138240.dpl.1"
"A69-1604-30681",15,"2023-05-04 22:05:20","2023-06-10 19:41:03","138239.dpl.1, 139041, 139043, 139045"
"A69-1604-30683",1,"2022-06-07 08:38:11","2022-06-07 08:38:11","138239.dpl.1"
"A69-1604-32570",3,"2024-05-24 04:48:18","2024-05-24 04:53:34","138240.dpl.3"
"A69-1604-32573",6,"2024-05-19 02:51:54","2024-05-30 19:08:25","138240.dpl.3"
"A69-1604-32575",3,"2024-05-16 16:53:40","2024-05-16 16:56:05","138240.dpl.3"
"A69-1604-32582",9,"2023-07-09 03:47:43","2023-07-27 23:25:46","139045, 139041, 138240.dpl.1"
"A69-1604-33452",4,"2024-05-16 08:16:39","2024-05-16 08:22:41","138240.dpl.3"
"A69-1604-8851",3,"2023-06-22 06:42:04","2023-06-22 06:43:55","139043"
"A69-1604-8859",2,"2023-06-22 06:43:29","2023-07-12 10:45:44","139043, 139045"
"A69-1604-8860",3,"2023-07-17 19:04:35","2023-07-17 19:06:42","139043"
"A69-9001-12350",3,"2023-11-07 07:09:12","2024-01-23 09:25:40","139045, 139044"
"A69-9001-12748",133,"2023-01-18 07:53:55","2024-02-28 11:14:27","138239.dpl.1, 139043, 139044, 139041"
"A69-9001-16326",1,"2023-09-02 17:45:04","2023-09-02 17:45:04","139044"
"A69-9001-16328",1,"2023-06-23 09:31:39","2023-06-23 09:31:39","139043"
"A69-9001-16804",260,"2022-09-28 09:00:42","2024-09-16 12:39:15","138239.dpl.1, 138240.dpl.1, 139041, 139045, 139043, 139044"
"A69-9001-16806",2,"2024-08-22 14:50:41","2024-08-22 14:53:19","139045"
"A69-9001-16809",318,"2023-10-06 16:32:36","2024-07-24 01:02:10","138240.dpl.2, 138240.dpl.3"
"A69-9001-16820",25422,"2023-10-06 14:49:26","2024-07-30 23:45:10","138240.dpl.2, 138240.dpl.3"
"A69-9001-16823",30,"2024-07-22 09:23:18","2024-07-22 21:27:59","138240.dpl.3"
"A69-9001-16825",33368,"2023-10-10 12:31:12","2024-07-30 23:36:00","138240.dpl.3"
"A69-9001-16952",1,"2023-05-26 00:10:09","2023-05-26 00:10:09","139041"
"A69-9001-16995",8,"2024-02-08 07:45:56","2024-02-23 10:45:36","139043, 138240.dpl.3"
"A69-9001-17020",1,"2024-02-21 08:38:51","2024-02-21 08:38:51","138240.dpl.3"
